id;imagePath;p1;p2;p3;p4;isCopy
000076.jpg160659;../dlc-2021/cg/clips/images/svk_id/01.cg0001/000076.jpg;530.000000,1532.000000;1866.000000,1559.000000;1834.000000,2389.000000;516.000000,2356.000000;1
000225.jpg91850;../dlc-2021/cg/clips/images/svk_id/05.cg0002/000225.jpg;70.000000,890.000000;927.000000,839.000000;936.000000,1339.000000;118.000000,1421.000000;1
000225.jpg215372;../dlc-2021/cg/clips/images/svk_id/04.cg0003/000225.jpg;438.000000,1458.000000;1638.000000,1440.000000;1636.000000,2182.000000;459.000000,2207.000000;1
000125.jpg169936;../dlc-2021/cg/clips/images/svk_id/04.cg0007/000125.jpg;1330.000000,1642.000000;1374.000000,2794.000000;631.000000,2852.000000;533.000000,1682.000000;1
000125.jpg133047;../dlc-2021/cg/clips/images/svk_id/02.cg0001/000125.jpg;474.000000,1880.000000;1553.000000,1924.000000;1560.000000,2615.000000;419.000000,2579.000000;1
000076.jpg49393;../dlc-2021/cg/clips/images/svk_id/03.cg0002/000076.jpg;86.000000,784.000000;921.000000,787.000000;932.000000,1311.000000;77.000000,1318.000000;1
000076.jpg35078;../dlc-2021/cg/clips/images/svk_id/00.cg0002/000076.jpg;220.000000,674.000000;816.000000,671.000000;844.000000,1032.000000;228.000000,1052.000000;1
000325.jpg235547;../dlc-2021/cg/clips/images/svk_id/06.cg0002/000325.jpg;338.000000,1321.000000;1904.000000,1324.000000;1935.000000,2309.000000;344.000000,2324.000000;1
000225.jpg426376;../dlc-2021/cg/clips/images/svk_id/04.cg0006/000225.jpg;337.000000,1146.000000;1941.000000,1125.000000;1939.000000,2158.000000;342.000000,2134.000000;1
000076.jpg45690;../dlc-2021/cg/clips/images/svk_id/03.cg0001/000076.jpg;126.000000,747.000000;939.000000,730.000000;967.000000,1245.000000;124.000000,1266.000000;1
000325.jpg241474;../dlc-2021/cg/clips/images/svk_id/04.cg0004/000325.jpg;172.000000,1516.000000;1624.000000,1523.000000;1610.000000,2396.000000;194.000000,2428.000000;1
000325.jpg118918;../dlc-2021/cg/clips/images/svk_id/01.cg0002/000325.jpg;457.000000,1598.000000;1544.000000,1623.000000;1533.000000,2310.000000;442.000000,2283.000000;1
000076.jpg103868;../dlc-2021/cg/clips/images/svk_id/06.cg0003/000076.jpg;350.000000,1691.000000;1675.000000,1672.000000;1698.000000,2522.000000;358.000000,2529.000000;1
000125.jpg321197;../dlc-2021/cg/clips/images/svk_id/04.cg0009/000125.jpg;1515.000000,1344.000000;1679.000000,2562.000000;664.000000,2535.000000;709.000000,1292.000000;1
000325.jpg225168;../dlc-2021/cg/clips/images/svk_id/04.cg0002/000325.jpg;648.000000,1427.000000;1684.000000,1493.000000;1640.000000,2139.000000;605.000000,2077.000000;1
000225.jpg125597;../dlc-2021/cg/clips/images/svk_id/02.cg0002/000225.jpg;298.000000,1175.000000;1686.000000,1238.000000;1661.000000,2081.000000;292.000000,2066.000000;1
000210.jpg203367;../dlc-2021/cg/clips/images/svk_id/04.cg0008/000210.jpg;391.000000,1090.000000;1999.000000,1140.000000;2045.000000,2140.000000;206.000000,2056.000000;1
000225.jpg56303;../dlc-2021/cg/clips/images/svk_id/07.cg0001/000225.jpg;76.000000,227.000000;993.000000,228.000000;985.000000,818.000000;39.000000,795.000000;1
000225.jpg104921;../dlc-2021/cg/clips/images/svk_id/06.cg0004/000225.jpg;206.000000,1161.000000;1867.000000,1159.000000;1906.000000,2185.000000;235.000000,2233.000000;1
000125.jpg90323;../dlc-2021/cg/clips/images/svk_id/05.cg0001/000125.jpg;141.000000,898.000000;939.000000,867.000000;958.000000,1368.000000;165.000000,1390.000000;1
000225.jpg67678;../dlc-2021/cg/clips/images/svk_id/07.cg0002/000225.jpg;72.000000,270.000000;1030.000000,294.000000;1022.000000,894.000000;37.000000,864.000000;1
000125.jpg183507;../dlc-2021/cg/clips/images/svk_id/06.cg0001/000125.jpg;320.000000,1400.000000;1861.000000,1314.000000;1911.000000,2293.000000;386.000000,2352.000000;1
000225.jpg239719;../dlc-2021/cg/clips/images/svk_id/04.cg0001/000225.jpg;595.000000,1279.000000;1636.000000,1308.000000;1609.000000,1952.000000;590.000000,1935.000000;1
000225.jpg149040;../dlc-2021/cg/clips/images/svk_id/04.cg0005/000225.jpg;230.000000,1310.000000;1730.000000,1212.000000;1757.000000,2128.000000;326.000000,2237.000000;1
000225.jpg36983;../dlc-2021/cg/clips/images/svk_id/00.cg0001/000225.jpg;177.000000,882.000000;796.000000,863.000000;830.000000,1257.000000;174.000000,1283.000000;1
000225.jpg39914;../dlc-2021/cg/clips/images/fin_id/01.cg0001/000225.jpg;95.000000,132.000000;983.000000,162.000000;975.000000,712.000000;96.000000,700.000000;1
000401.jpg241725;../dlc-2021/cg/clips/images/fin_id/05.cg0002/000401.jpg;490.000000,1343.000000;1750.000000,1349.000000;1743.000000,2134.000000;489.000000,2131.000000;1
000076.jpg182847;../dlc-2021/cg/clips/images/fin_id/04.cg0003/000076.jpg;226.000000,1026.000000;1886.000000,920.000000;1921.000000,1951.000000;332.000000,2058.000000;1
000225.jpg167108;../dlc-2021/cg/clips/images/fin_id/04.cg0007/000225.jpg;1621.000000,1307.000000;1622.000000,2735.000000;700.000000,2713.000000;753.000000,1290.000000;1
000076.jpg139157;../dlc-2021/cg/clips/images/fin_id/02.cg0001/000076.jpg;500.000000,1515.000000;1792.000000,1586.000000;1707.000000,2341.000000;486.000000,2281.000000;1
000225.jpg89871;../dlc-2021/cg/clips/images/fin_id/03.cg0002/000225.jpg;191.000000,1007.000000;839.000000,974.000000;879.000000,1388.000000;191.000000,1427.000000;1
000225.jpg49560;../dlc-2021/cg/clips/images/fin_id/00.cg0002/000225.jpg;78.000000,560.000000;964.000000,569.000000;951.000000,1121.000000;76.000000,1107.000000;1
000225.jpg70602;../dlc-2021/cg/clips/images/fin_id/06.cg0002/000225.jpg;106.000000,662.000000;946.000000,656.000000;963.000000,1194.000000;83.000000,1193.000000;1
000225.jpg182860;../dlc-2021/cg/clips/images/fin_id/04.cg0006/000225.jpg;266.000000,1259.000000;1841.000000,1227.000000;1850.000000,2231.000000;268.000000,2231.000000;1
000076.jpg66306;../dlc-2021/cg/clips/images/fin_id/03.cg0001/000076.jpg;151.000000,819.000000;696.000000,824.000000;714.000000,1155.000000;142.000000,1170.000000;1
000325.jpg149956;../dlc-2021/cg/clips/images/fin_id/04.cg0004/000325.jpg;206.000000,1430.000000;1982.000000,1480.000000;1963.000000,2572.000000;198.000000,2562.000000;1
000225.jpg158543;../dlc-2021/cg/clips/images/fin_id/07.cg0003/000225.jpg;616.000000,1454.000000;1876.000000,1514.000000;1861.000000,2307.000000;559.000000,2249.000000;1
000225.jpg46135;../dlc-2021/cg/clips/images/fin_id/01.cg0002/000225.jpg;96.000000,761.000000;818.000000,770.000000;808.000000,1202.000000;102.000000,1217.000000;1
000125.jpg153147;../dlc-2021/cg/clips/images/fin_id/04.cg0009/000125.jpg;694.000000,2097.000000;837.000000,1124.000000;1464.000000,1133.000000;1362.000000,2143.000000;1
000325.jpg471321;../dlc-2021/cg/clips/images/fin_id/04.cg0002/000325.jpg;325.000000,1211.000000;1999.000000,1167.000000;2018.000000,2221.000000;360.000000,2258.000000;1
000225.jpg259893;../dlc-2021/cg/clips/images/fin_id/02.cg0002/000225.jpg;392.000000,1478.000000;1823.000000,1526.000000;1813.000000,2438.000000;326.000000,2369.000000;1
000125.jpg151302;../dlc-2021/cg/clips/images/fin_id/04.cg0008/000125.jpg;486.000000,1470.000000;1915.000000,1619.000000;1897.000000,2517.000000;429.000000,2491.000000;1
000225.jpg165590;../dlc-2021/cg/clips/images/fin_id/07.cg0001/000225.jpg;476.000000,1945.000000;1603.000000,1939.000000;1626.000000,2663.000000;461.000000,2679.000000;1
000225.jpg252296;../dlc-2021/cg/clips/images/fin_id/05.cg0001/000225.jpg;357.000000,1099.000000;1699.000000,1104.000000;1689.000000,1935.000000;368.000000,1937.000000;1
000210.jpg140988;../dlc-2021/cg/clips/images/fin_id/07.cg0004/000210.jpg;550.000000,1808.000000;1677.000000,1755.000000;1726.000000,2473.000000;562.000000,2526.000000;1
